time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.94648791547e-07,1.53195019355e-07,10.0088432169,6.28273331108,6.28269406917,0.0,9.37265819502e-06,-1.45197107125e-05,0.294744181386,-0.0302006860476,-0.0344543826227,0.0,496.51452764297056,493.98083111413297,495.5645502025712,493.3401114331604
0.12000000000000001,1.87580828787e-05,-1.7197695036e-05,10.0304979481,6.28136625821,6.28097988021,0.0,0.000825427655718,-0.000730289036872,0.427039000288,-0.011018957604,-0.0188353776053,0.0,446.6304106629893,447.90199178338236,446.23280918872456,447.79555919374695
0.18,0.000142806721755,-0.000122499411417,10.0701124067,6.28067083029,6.28071371891,0.0,0.00340322315408,-0.00288521602221,0.893198567413,-0.0127587080173,0.0148868744569,0.0,540.0883956524982,542.3577579912615,540.8456070257874,540.7285872490934
0.23999999999999996,0.000399459047714,-0.000355941748967,10.1287534246,6.27988712382,6.28145386483,0.0,0.00505935150245,-0.00498264056726,1.06136074757,-0.0136748891184,0.00667113827807,0.0,457.9144523105589,457.2603915094592,460.12657593448756,460.05417261153445
0.3,0.000746625877136,-0.000757776642726,10.2046321486,6.27863002053,0.000832861626019,0.0,0.00623584118569,-0.00855327880286,1.46750030609,-0.0423607629923,0.0754474499223,0.0,523.1361092960309,527.9032535729655,527.9929321362893,526.0103708023421
0.36000000000000004,0.00107480895035,-0.00140879130699,10.3025913231,6.27654261456,0.00525867237766,0.0,0.00409524322146,-0.0134553619041,1.79734442595,-0.0228302713157,0.0701650646076,0.0,505.6123249752568,505.23516522217716,507.1304371494741,508.5308031137835
0.4200000000000001,0.00115186036437,-0.00240652634886,10.4204765626,6.27557831484,0.0102242572804,0.0,-0.00216071575656,-0.0199545035292,2.13159739455,-0.0051576841498,0.100346022164,0.0,506.73657705292555,508.9056973359283,509.09431986463426,510.35726382476173
0.48000000000000015,0.000756158370694,-0.00378375728127,10.5541843549,6.27515734166,0.0161153254954,0.0,-0.0117152922084,-0.0259922336406,2.32494769859,-0.011019789442,0.0934710571462,0.0,469.7128515365249,469.18710833123544,470.48264449907987,470.0286910207892
0.5400000000000001,-0.000285792636724,-0.00550363322753,10.6957805401,6.27506662023,0.0217906713742,0.0,-0.0235642845233,-0.0313677942578,2.39477107335,0.0127829007168,0.0967347775197,0.0,433.3864021683791,433.66846349353125,430.5477548095145,432.55688144922993
0.6000000000000002,-0.00223798002987,-0.00757347016473,10.8453339095,6.27559700398,0.0278479973664,0.0,-0.0421885459734,-0.0375463190242,2.58990406208,-0.000521977510416,0.108279846014,0.0,470.8579324980337,471.75832009553926,472.1964663339054,471.1688942324321
0.6600000000000003,-0.0054118202147,-0.00999426913092,11.0051800391,6.27533967733,0.034342780637,0.0,-0.0643047289963,-0.0431585273824,2.73793547291,-0.0131521697546,0.108179446172,0.0,458.0590883492717,458.06103563157063,459.0185562073128,458.0152480598002
0.7200000000000003,-0.0100332633321,-0.0127553808721,11.1732561562,6.27436941099,0.0409225469379,0.0,-0.090424410895,-0.0489681410897,2.86426622558,-0.0230200984096,0.112473253743,0.0,452.3677660941925,452.72375723317384,452.6811336125112,451.8864667236116
0.7800000000000004,-0.016316264859,-0.0158775728129,11.3477625724,6.2731519819,0.048122261784,0.0,-0.119701487961,-0.0552323293353,2.95235669848,-0.0153251536804,0.131886182513,0.0,440.29276472017773,441.9087951995824,440.96959982322585,441.6048051204885
0.8400000000000004,-0.0247660603247,-0.0194523010471,11.5327917185,6.27208406849,0.0558243646217,0.0,-0.162908168801,-0.0640420873455,3.21452698966,-0.0232712116634,0.120203513777,0.0,494.18425044447235,493.3355577126248,493.9952618307047,493.40908046892537
0.9000000000000005,-0.0357741649139,-0.0235393733789,11.7295627937,6.27101882052,0.0630203923926,0.0,-0.204773204363,-0.0723178654196,3.34408659256,-0.00853121392113,0.119389366939,0.0,455.8566030982614,455.8041090680886,456.08990306384754,457.2657110571956
0.9600000000000005,-0.0493102024099,-0.0281163184076,11.9319389387,6.27029925614,0.0704136186958,0.0,-0.247113995221,-0.0803021596872,3.4015610807,-0.0200145385909,0.129946699104,0.0,434.2436276525512,435.14241926152965,434.8389115923063,433.8759488526228
1.0200000000000005,-0.0655756977892,-0.0331965425773,12.1383570912,6.26889217862,0.0784003603701,0.0,-0.295830617661,-0.0891622547534,3.47874269783,-0.0314050963311,0.1387861181,0.0,441.3550679849935,442.1004095209822,441.3795741689377,440.43839835375576
1.0800000000000005,-0.0845845390297,-0.0387764324541,12.3451375481,6.26702898011,0.0865691626789,0.0,-0.338453290768,-0.0969814987519,3.41406836292,-0.0303589856572,0.130269891041,0.0,395.1964675245402,394.43031059709455,394.0756599485128,394.1718873390158
1.1400000000000006,-0.106995217299,-0.0449885886362,12.5561576865,6.26512566375,0.0942977235934,0.0,-0.409426352131,-0.110297049233,3.6192050942,-0.0345969977665,0.12571884981,0.0,480.8123655491218,480.48124032419366,480.77129510753895,480.44979534562617
1.2000000000000006,-0.133589976763,-0.0519963876439,12.7767858973,6.26273256251,0.101905084833,0.0,-0.477818596138,-0.123517438154,3.73459453448,-0.053405770339,0.128846674905,0.0,454.71731258126135,454.982064112233,456.3502903101894,454.8455283140967
1.2600000000000007,-0.16460591422,-0.059883246967,13.0058240224,6.25985939988,0.109693958692,0.0,-0.556853035038,-0.13970066112,3.89933410427,-0.038661497809,0.131681376529,0.0,470.7919129091043,471.02559262417617,470.8805188402707,472.01848509151597
